Student_ID,Education,Skills,Interests,Strengths,Career_Recommendation,Next_Career
IT1000,Bachelor's in Information Technology,Python; SQL; Power BI; Excel; Scikit-learn; R,AI; Data,Logical Thinking; Communication,Data Analyst,Data Scientist
IT1001,Master's in Software Engineering,CSS; HTML; JavaScript; Vue.js,Design,Attention to Detail; Adaptability; Logical Thinking,Frontend Developer,Full Stack Developer
IT1002,Associate Degree in IT,HTML; JavaScript; React; Adobe XD,Design,Logical Thinking; Creativity,Frontend Developer,Full Stack Developer
IT1003,Master's in Computer Science,GCP; Docker; Linux; Jenkins,Automation,Fast Learner; Adaptability; Problem Solving,Cloud Engineer,Cloud Architect
IT1004,Bachelor's in Information Technology,Solidity; JavaScript; Ethereum; Python; SQL,Crypto,Problem Solving; Logical Thinking,Blockchain Developer,Senior Blockchain Developer
IT1005,Master's in Computer Science,Python; LLM; NLP; NumPy; R; Pandas,Research,Creativity; Logical Thinking; Fast Learner,AI Engineer,NLP Engineer
IT1006,Bachelor's in Information Technology,Node.js; Java; PostgreSQL; MongoDB; Algorithms,Web; Open Source,Persistence; Teamwork; Logical Thinking,Backend Developer,Database Administrator
IT1007,Bachelor's in Electronics,RTOS; Assembly; Raspberry Pi; IoT; MQTT,Hardware; Electronics,Analytical Thinking; Persistence; Attention to Detail,Embedded Systems Engineer,IoT Developer
IT1008,Bachelor's in Electronics,Arduino; C++; Assembly; C; MQTT,IoT; Robotics,Problem Solving; Attention to Detail; Analytical Thinking,Embedded Systems Engineer,IoT Developer
IT1009,Bachelor's in Computer Science,Python; Power BI; SQL; PostgreSQL; Scikit-learn,Data; AI,Analytical Thinking; Logical Thinking; Communication,Data Analyst,Data Scientist
IT1010,Bachelor's in Information Technology,C++; C; Linux,Hardware; IoT,Problem Solving; Persistence,Embedded Systems Engineer,IoT Developer
IT1011,Bachelor's in Software Engineering,Unreal Engine; C#; JavaScript,Design; Innovation,Logical Thinking; Fast Learner,AR/VR Developer,Computer Vision Engineer
IT1012,Master's in Software Engineering,Terraform; GCP; Kubernetes; AWS; Networking,Architecture,Logical Thinking; Problem Solving,Cloud Architect,DevOps Engineer
IT1013,Associate Degree in IT,JavaScript; Python; Solidity; TypeScript; REST API; Web3.js,Blockchain,Creativity; Analytical Thinking; Persistence,Blockchain Developer,Senior Blockchain Developer
IT1014,Bachelor's in Information Technology,C; Raspberry Pi; MQTT; RTOS; Assembly; C++,Electronics; IoT,Analytical Thinking; Attention to Detail,IoT Developer,Robotics Engineer
IT1015,Bachelor's in Computer Science,PyTorch; Python; TensorFlow; NumPy; LLM,Research; AI,Logical Thinking; Creativity; Persistence,NLP Engineer,Computer Vision Engineer
IT1016,Bachelor's in Computer Science,GCP; Azure; AWS; Bash; Linux,Cloud,Fast Learner; Adaptability; Problem Solving,Cloud Engineer,Cloud Architect
IT1017,Associate Degree in IT,Flutter; Kotlin; Android SDK; REST API; Xcode,Design,Problem Solving; Teamwork,Mobile App Developer,Full Stack Developer
IT1018,Bachelor's in Information Systems,Kafka; SQL; Python; MongoDB; Docker; Azure,Data,Teamwork; Logical Thinking,Data Engineer,Data Scientist
IT1019,Bachelor's in Computer Science,Terraform; Azure; Python; Bash; Kubernetes,Open Source,Teamwork; Fast Learner; Adaptability,Cloud Engineer,Cloud Architect
IT1020,Master's in Software Engineering,Kubernetes; Azure; Docker; Python,Cloud,Communication; Leadership,Cloud Architect,DevOps Engineer
IT1021,Master's in Computer Science,C; Raspberry Pi; MQTT; Arduino; Linux; Node.js; RTOS,IoT,Attention to Detail; Analytical Thinking; Logical Thinking,IoT Developer,Robotics Engineer
IT1022,Master's in Computer Science,Docker; AWS; Azure; Terraform; Python; Kubernetes; Jenkins,Automation; Cloud,Analytical Thinking; Teamwork; Fast Learner,Cloud Engineer,Cloud Architect
IT1023,Master's in Software Engineering,Java; REST API; Algorithms; Docker,Open Source,Analytical Thinking; Teamwork,Backend Developer,Database Administrator
IT1024,Associate Degree in IT,Figma; Adobe XD; HTML; Sketch; Adobe Illustrator,UI,Adaptability; Creativity; Problem Solving,UI/UX Designer,Product Manager
IT1025,Bachelor's in Software Engineering,Node.js; Java; REST API; SQL; MySQL; Linux,Open Source; Coding,Problem Solving; Logical Thinking,Backend Developer,Database Administrator
IT1026,Bachelor's in Information Technology,Excel; SQL; Tableau; Power BI; Git,Design,Communication; Adaptability,Product Manager,Cloud Architect
IT1027,Associate Degree in IT,XML; Kotlin; Android SDK; Java; React Native; Python,Coding; Open Source,Problem Solving; Persistence; Teamwork,Android Developer,Mobile App Developer
IT1028,Associate Degree in IT,CSS; Figma; Adobe Illustrator; InVision,Design,Attention to Detail; Problem Solving,UI/UX Designer,Product Manager
IT1029,Bachelor's in Software Engineering,Java; XML; Android SDK; Kotlin; React Native,Open Source,Teamwork; Persistence; Problem Solving,Android Developer,Mobile App Developer
IT1030,Master's in Data Science,Python; NumPy; Scikit-learn; Spark; TensorFlow,AI,Analytical Thinking; Persistence,Data Scientist,Machine Learning Engineer
IT1031,Bachelor's in Information Technology,XML; Android SDK; Kotlin; Firebase,Coding; Mobile Apps,Creativity; Persistence; Logical Thinking,Android Developer,Mobile App Developer
IT1032,Master's in Software Engineering,Xcode; SwiftUI; Swift; React Native; Git; Firebase,Mobile Apps,Creativity; Attention to Detail,iOS Developer,Mobile App Developer
IT1033,Bachelor's in Computer Science,SwiftUI; Xcode; Objective-C; Swift; JSON; Git; Firebase,Mobile Apps; Apple,Problem Solving; Attention to Detail,iOS Developer,Mobile App Developer
IT1034,Bachelor's in Software Engineering,Python; SQL; Hadoop; Kafka; AWS; Docker,Big Data,Logical Thinking; Teamwork; Analytical Thinking,Data Engineer,Data Scientist
IT1035,Master's in Software Engineering,TypeScript; HTML; REST API; Git,Design,Logical Thinking; Attention to Detail; Creativity,Frontend Developer,Full Stack Developer
IT1036,Bachelor's in Computer Science,PyTorch; Hugging Face; Python; NLP; NLTK; LLM; R,Innovation; Language,Persistence; Analytical Thinking,NLP Engineer,Computer Vision Engineer
IT1037,Bachelor's in Computer Science,Selenium; SQL; Manual Testing; Java; Agile; Jira; Git,Automation,Attention to Detail; Logical Thinking,QA Engineer,Software Developer
IT1038,Bachelor's in Software Engineering,Xcode; Objective-C; SwiftUI; Swift; Git; REST API,Apple; Design,Logical Thinking; Problem Solving,iOS Developer,Mobile App Developer
IT1039,Bachelor's in Information Systems,SQL; MySQL; PostgreSQL; MongoDB; Python,Architecture; Databases,Logical Thinking; Analytical Thinking; Attention to Detail,Database Administrator,Data Engineer
IT1040,Master's in Artificial Intelligence,PyTorch; NLP; Hugging Face; Scikit-learn; NLTK; R,AI,Persistence; Analytical Thinking; Logical Thinking,NLP Engineer,Computer Vision Engineer
IT1041,Bachelor's in Information Systems,SQL; Scrum; Excel; Agile; Adobe XD; Power BI,Design; Innovation,Adaptability; Leadership; Analytical Thinking,Product Manager,Cloud Architect
IT1042,Bachelor's in Computer Science,LLM; TensorFlow; NumPy,Innovation; Research,Analytical Thinking; Fast Learner,AI Engineer,NLP Engineer
IT1043,Master's in Computer Science,TensorFlow; Python; NLP; PyTorch; Scikit-learn; Hugging Face,Research; AI,Analytical Thinking; Logical Thinking,AI Engineer,NLP Engineer
IT1044,Master's in Computer Science,Terraform; Azure; Kubernetes; AWS; Ansible; Python,Architecture; Infrastructure,Problem Solving; Communication,Cloud Architect,DevOps Engineer
IT1045,Master's in Cybersecurity,Python; Kali Linux; Nmap; Firewalls; Wireshark; Linux,Networking,Logical Thinking; Problem Solving,Penetration Tester,Network Engineer
IT1046,Bachelor's in Electronics,Cisco; DNS; TCP/IP; Linux; Bash; Python,Networking; Security,Problem Solving; Logical Thinking; Communication,Network Engineer,Cloud Engineer
IT1047,Master's in Software Engineering,Git; OOP; SQL,Open Source; Innovation,Teamwork; Logical Thinking,Software Developer,Backend Developer
IT1048,Master's in Computer Science,Scikit-learn; TensorFlow; Hugging Face,Research,Fast Learner; Persistence; Problem Solving,Machine Learning Engineer,AI Engineer
IT1049,Bachelor's in Software Engineering,CSS; React; MongoDB; Python,Coding,Logical Thinking; Problem Solving; Teamwork,Full Stack Developer,Software Developer
IT1050,Master's in Software Engineering,C++; OOP; Python; Linux,Open Source,Teamwork; Adaptability; Fast Learner,Software Developer,Backend Developer
